Designator,Mid X,Mid Y,Rotation,Layer
D317,-39.75,-50.25,90.0,top
D318,-20.75,-52.75,90.0,top
D319,-49.75,-64.75,90.0,top
D320,-30.0,-64.0,90.0,top
D321,-19.25,-64.75,90.0,top
D401,119.75,-17.25,90.0,top
D402,100.75,-17.25,90.0,top
D403,81.75,-12.25,90.0,top
D404,62.75,-9.75,90.0,top
D405,43.75,-12.25,90.0,top
D406,24.75,-14.75,90.0,top
D407,119.75,-36.25,90.0,top
D408,100.75,-36.25,90.0,top
D409,81.75,-31.25,90.0,top
D410,62.75,-28.75,90.0,top
D411,43.75,-31.25,90.0,top
D412,24.75,-33.9,90.0,top
D413,119.75,-55.25,90.0,top
D414,100.75,-55.25,90.0,top
D415,81.75,-50.25,90.0,top
D416,62.75,-47.75,90.0,top
D417,43.75,-50.25,90.0,top
D418,24.75,-52.75,90.0,top
D419,53.75,-64.75,90.0,top
D420,34.0,-64.0,90.0,top
D421,23.25,-64.75,90.0,top
D501,4.85,-6.6,270.0,top
D601,-112.3,-69.1,0.0,top
FB201,-12.95,-23.6,90.0,top
FB501,14.5,-20.7,90.0,top
FB601,-101.1,-72.55,0.0,top
J201,-2.75,-23.75,90.0,top
J5_11,-115.275,-7.8,0.0,top
J5_10,-101.2125,-84.2,0.0,top
J5_9,-101.2125,-68.2,0.0,top
J5_8,105.3,-64.7,0.0,top
J5_7,13.2,0.2,0.0,top
J5_6,-10.8,0.2,0.0,top
J5_5,-101.2125,-64.7,0.0,top
J5_4,-121.2,-76.325,90.0,top
J5_3,-47.912469,-82.085711,351.7,top
J5_2,119.3,-7.8,0.0,top
J5,52.249876,-82.042846,8.3,top
J502,6.75,-23.75,270.0,top
J602,-97.5,-76.2,90.0,top
L201,-4.0,-15.85,90.0,top
L202,-4.3,-17.55,0.0,top
L203,-15.2,-7.9,270.0,top
L204,-11.5,-10.65,0.0,top
L205,-14.2,-10.65,0.0,top
L501,19.7,-17.55,0.0,top
L502,20.0,-15.85,90.0,top
L503,8.8,-7.9,270.0,top
L504,9.8,-10.65,0.0,top
L505,12.5,-10.65,0.0,top
L603,-113.152671,-80.770349,0.0,top
L604,-110.45,-80.75,0.0,top
L605,-108.15,-79.7,90.0,top
R101,-10.55,-9.6,0.0,top
R201,-7.6,-16.95,180.0,top
R202,-7.6,-16.05,0.0,top
R203,-1.9,-17.3,270.0,top
R204,-2.9,-17.3,270.0,top
R205,-1.35,-12.2,180.0,top
R206,-12.7,-19.45,180.0,top
R501,22.65,-12.2,180.0,top
R502,16.4,-16.95,180.0,top
R503,16.4,-16.05,0.0,top
R504,11.2,-16.9,180.0,top
R505,11.2,-17.9,180.0,top
R506,17.3,-24.1,180.0,top
R601,-106.6,-69.55,270.0,top
SW301,-124.75,-17.25,180.0,bottom
SW302,-105.75,-17.25,180.0,bottom
SW303,-86.75,-12.25,180.0,bottom
SW304,-67.75,-9.75,180.0,bottom
SW305,-48.75,-12.25,180.0,bottom
SW306,-29.75,-14.75,180.0,bottom
SW307,-124.75,-36.25,180.0,bottom
SW308,-105.75,-36.25,180.0,bottom
SW309,-86.83,-31.25,180.0,bottom
SW310,-67.75,-28.75,180.0,bottom
SW311,-48.75,-31.25,180.0,bottom
SW312,-29.75,-33.75,180.0,bottom
SW313,-124.75,-55.25,180.0,bottom
SW314,-105.75,-55.25,180.0,bottom
SW315,-86.83,-50.25,180.0,bottom
SW316,-67.75,-47.75,180.0,bottom
SW317,-48.75,-50.25,180.0,bottom
SW318,-29.75,-52.75,180.0,bottom
SW319,-58.75,-70.25,180.0,bottom
SW320,-37.25,-72.75,165.0,bottom
SW321,-14.95,-76.45,240.0,bottom
SW401,128.75,-17.25,180.0,bottom
SW402,109.75,-17.25,180.0,bottom
SW403,90.75,-12.25,180.0,bottom
SW404,71.75,-9.75,180.0,bottom
SW405,52.75,-12.25,180.0,bottom
SW406,33.75,-14.75,180.0,bottom
SW407,128.75,-36.25,180.0,bottom
SW408,109.75,-36.25,180.0,bottom
SW409,90.83,-31.25,180.0,bottom
SW410,71.75,-28.75,180.0,bottom
SW411,52.75,-31.25,180.0,bottom
SW412,33.75,-33.75,180.0,bottom
SW413,128.75,-55.25,180.0,bottom
SW414,109.75,-55.25,180.0,bottom
SW415,90.83,-50.25,180.0,bottom
SW416,71.75,-47.75,180.0,bottom
SW417,52.75,-50.25,180.0,bottom
SW418,33.75,-52.75,180.0,bottom
SW419,62.75,-70.25,180.0,bottom
SW420,41.25,-72.75,195.0,bottom
SW421,18.95,-76.45,120.0,bottom
SW601,-103.475,-81.95,0.0,top
U201,-6.0,-11.25,180.0,top
U202,-10.25,-23.75,180.0,top
U204,-15.6875,-20.6,0.0,top
U501,18.0,-11.25,180.0,top
U502,14.25,-23.75,0.0,top
U503,18.5375,-21.85,180.0,top
U601,-107.55,-74.2,270.0,top
U602,-101.85,-75.0,180.0,top
Y201,-10.6,-14.15,90.0,top
Y501,13.4,-14.15,90.0,top
Y601,-104.65,-78.65,270.0,top
