Designator,Footprint,Quantity,Value,LCSC Part #
"_5, _4, _3, _2, ",M2_Hole_TH,5,,
"SW2_21, SW2_20, SW2_19, SW2_18, SW2_17, SW2_16, SW2_15, SW2_14, SW2_13, SW2_12, SW2_11, SW2_10, SW2_9, SW2_8, SW2_7, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2",SW_Hole,21,KEY_SWITCH,
